


{'loss': 2.574, 'grad_norm': 2905495.75, 'learning_rate': 2.1505376344086023e-06, 'epoch': 0.22}
{'loss': 0.957, 'grad_norm': 733882.6875, 'learning_rate': 4.3010752688172045e-06, 'epoch': 0.43}
{'loss': 0.6939, 'grad_norm': 318851.78125, 'learning_rate': 6.451612903225806e-06, 'epoch': 0.65}
{'loss': 0.7919, 'grad_norm': 255805.03125, 'learning_rate': 8.602150537634409e-06, 'epoch': 0.86}
{'loss': 0.6038, 'grad_norm': 335809.59375, 'learning_rate': 1.0752688172043012e-05, 'epoch': 1.08}
{'loss': 0.555, 'grad_norm': 140880.65625, 'learning_rate': 1.2903225806451613e-05, 'epoch': 1.29}
{'loss': 0.5348, 'grad_norm': 351959.34375, 'learning_rate': 1.5053763440860215e-05, 'epoch': 1.51}
{'loss': 0.6042, 'grad_norm': 45936.5234375, 'learning_rate': 1.7204301075268818e-05, 'epoch': 1.72}
{'loss': 0.5303, 'grad_norm': 40694.80078125, 'learning_rate': 1.935483870967742e-05, 'epoch': 1.94}
{'loss': 0.5153, 'grad_norm': 43486.19140625, 'learning_rate': 2.1505376344086024e-05, 'epoch': 2.15}
{'loss': 0.5064, 'grad_norm': 66670.1484375, 'learning_rate': 2.3655913978494626e-05, 'epoch': 2.37}
{'loss': 0.5082, 'grad_norm': 31522.068359375, 'learning_rate': 2.5806451612903226e-05, 'epoch': 2.58}
{'loss': 0.5505, 'grad_norm': 34159.1171875, 'learning_rate': 2.7956989247311828e-05, 'epoch': 2.8}
{'loss': 0.5041, 'grad_norm': 30647.84375, 'learning_rate': 3.010752688172043e-05, 'epoch': 3.01}
{'loss': 0.5021, 'grad_norm': 17717.08984375, 'learning_rate': 3.2258064516129034e-05, 'epoch': 3.23}
{'loss': 0.4984, 'grad_norm': 9709.1787109375, 'learning_rate': 3.4408602150537636e-05, 'epoch': 3.44}
{'loss': 0.4954, 'grad_norm': 50124.734375, 'learning_rate': 3.655913978494624e-05, 'epoch': 3.66}
{'loss': 0.5322, 'grad_norm': 125236.1875, 'learning_rate': 3.870967741935484e-05, 'epoch': 3.87}
{'loss': 0.4982, 'grad_norm': 99400.1875, 'learning_rate': 4.0860215053763444e-05, 'epoch': 4.09}
{'loss': 0.494, 'grad_norm': 29281.44921875, 'learning_rate': 4.301075268817205e-05, 'epoch': 4.3}
{'loss': 0.4954, 'grad_norm': 15057.8876953125, 'learning_rate': 4.516129032258064e-05, 'epoch': 4.52}
{'loss': 0.5191, 'grad_norm': 34057.4453125, 'learning_rate': 4.731182795698925e-05, 'epoch': 4.73}
{'loss': 0.497, 'grad_norm': 5673.0478515625, 'learning_rate': 4.9462365591397855e-05, 'epoch': 4.95}
{'loss': 0.4933, 'grad_norm': 4615.86279296875, 'learning_rate': 4.982078853046595e-05, 'epoch': 5.16}
{'loss': 0.4918, 'grad_norm': 145013.0625, 'learning_rate': 4.9581839904420555e-05, 'epoch': 5.38}
{'loss': 0.4925, 'grad_norm': 8519.2236328125, 'learning_rate': 4.9342891278375156e-05, 'epoch': 5.59}
{'loss': 0.5141, 'grad_norm': 3804.302001953125, 'learning_rate': 4.910394265232976e-05, 'epoch': 5.81}
{'loss': 0.4915, 'grad_norm': 7568.755859375, 'learning_rate': 4.886499402628435e-05, 'epoch': 6.02}
{'loss': 0.4915, 'grad_norm': 3450.75732421875, 'learning_rate': 4.862604540023895e-05, 'epoch': 6.24}
{'loss': 0.4905, 'grad_norm': 4121.86474609375, 'learning_rate': 4.8387096774193554e-05, 'epoch': 6.45}
{'loss': 0.4926, 'grad_norm': 488635.59375, 'learning_rate': 4.814814814814815e-05, 'epoch': 6.67}
{'loss': 0.5074, 'grad_norm': 22786.224609375, 'learning_rate': 4.790919952210275e-05, 'epoch': 6.88}
{'loss': 0.4906, 'grad_norm': 12391.9091796875, 'learning_rate': 4.767025089605735e-05, 'epoch': 7.1}
{'loss': 0.4883, 'grad_norm': 3537.030029296875, 'learning_rate': 4.743130227001195e-05, 'epoch': 7.31}
{'loss': 0.4891, 'grad_norm': 3229.91650390625, 'learning_rate': 4.7192353643966546e-05, 'epoch': 7.53}
{'loss': 0.5048, 'grad_norm': 71236.5390625, 'learning_rate': 4.695340501792115e-05, 'epoch': 7.74}
{'loss': 0.4904, 'grad_norm': 51871.25390625, 'learning_rate': 4.671445639187575e-05, 'epoch': 7.96}
{'loss': 0.4883, 'grad_norm': 3716.4814453125, 'learning_rate': 4.647550776583035e-05, 'epoch': 8.17}
{'loss': 0.4877, 'grad_norm': 2730.04296875, 'learning_rate': 4.6236559139784944e-05, 'epoch': 8.39}
{'loss': 0.4882, 'grad_norm': 2666.609375, 'learning_rate': 4.5997610513739546e-05, 'epoch': 8.6}
{'loss': 0.503, 'grad_norm': 38378.99609375, 'learning_rate': 4.575866188769415e-05, 'epoch': 8.82}
{'loss': 0.4875, 'grad_norm': 41539.01171875, 'learning_rate': 4.551971326164875e-05, 'epoch': 9.03}
{'loss': 0.4881, 'grad_norm': 4738.84033203125, 'learning_rate': 4.528076463560334e-05, 'epoch': 9.25}
{'loss': 0.4879, 'grad_norm': 2121.925048828125, 'learning_rate': 4.5041816009557944e-05, 'epoch': 9.46}
{'loss': 0.499, 'grad_norm': 203545.90625, 'learning_rate': 4.4802867383512545e-05, 'epoch': 9.68}
{'loss': 0.4896, 'grad_norm': 2954.24169921875, 'learning_rate': 4.4563918757467146e-05, 'epoch': 9.89}
{'loss': 0.4877, 'grad_norm': 2197.4931640625, 'learning_rate': 4.432497013142175e-05, 'epoch': 10.11}
{'loss': 0.4863, 'grad_norm': 16338.5654296875, 'learning_rate': 4.408602150537635e-05, 'epoch': 10.32}
{'loss': 0.4869, 'grad_norm': 2067.886474609375, 'learning_rate': 4.384707287933095e-05, 'epoch': 10.54}
{'loss': 0.4982, 'grad_norm': 1992.3128662109375, 'learning_rate': 4.360812425328555e-05, 'epoch': 10.75}
{'loss': 0.4884, 'grad_norm': 24825.9140625, 'learning_rate': 4.3369175627240145e-05, 'epoch': 10.97}
{'loss': 0.4868, 'grad_norm': 2079.85205078125, 'learning_rate': 4.3130227001194746e-05, 'epoch': 11.18}
{'loss': 0.4867, 'grad_norm': 2365.635009765625, 'learning_rate': 4.289127837514935e-05, 'epoch': 11.4}
{'loss': 0.4863, 'grad_norm': 2144.55126953125, 'learning_rate': 4.265232974910394e-05, 'epoch': 11.61}
{'loss': 0.4983, 'grad_norm': 1609.16015625, 'learning_rate': 4.241338112305854e-05, 'epoch': 11.83}
{'loss': 0.4862, 'grad_norm': 22703.228515625, 'learning_rate': 4.2174432497013144e-05, 'epoch': 12.04}
{'loss': 0.4865, 'grad_norm': 8111.7109375, 'learning_rate': 4.1935483870967746e-05, 'epoch': 12.26}
{'loss': 0.4858, 'grad_norm': 29135.447265625, 'learning_rate': 4.169653524492234e-05, 'epoch': 12.47}
{'loss': 0.496, 'grad_norm': 1680.442626953125, 'learning_rate': 4.145758661887694e-05, 'epoch': 12.69}
{'loss': 0.4864, 'grad_norm': 2265.590576171875, 'learning_rate': 4.121863799283154e-05, 'epoch': 12.9}
{'loss': 0.4867, 'grad_norm': 1467.14599609375, 'learning_rate': 4.0979689366786144e-05, 'epoch': 13.12}
{'loss': 0.4852, 'grad_norm': 9664.673828125, 'learning_rate': 4.074074074074074e-05, 'epoch': 13.33}
{'loss': 0.4858, 'grad_norm': 5664.66357421875, 'learning_rate': 4.050179211469534e-05, 'epoch': 13.55}
{'loss': 0.4953, 'grad_norm': 1915.6407470703125, 'learning_rate': 4.026284348864994e-05, 'epoch': 13.76}
{'loss': 0.4865, 'grad_norm': 2215.73486328125, 'learning_rate': 4.002389486260454e-05, 'epoch': 13.98}
{'loss': 0.4856, 'grad_norm': 1478.983642578125, 'learning_rate': 3.978494623655914e-05, 'epoch': 14.19}
{'loss': 0.4857, 'grad_norm': 89522.859375, 'learning_rate': 3.9545997610513744e-05, 'epoch': 14.41}
{'loss': 0.485, 'grad_norm': 2179.350830078125, 'learning_rate': 3.9307048984468345e-05, 'epoch': 14.62}
{'loss': 0.4949, 'grad_norm': 1658.466064453125, 'learning_rate': 3.906810035842295e-05, 'epoch': 14.84}
{'loss': 0.4855, 'grad_norm': 3067.112548828125, 'learning_rate': 3.882915173237754e-05, 'epoch': 15.05}
{'loss': 0.4854, 'grad_norm': 7835.912109375, 'learning_rate': 3.859020310633214e-05, 'epoch': 15.27}
{'loss': 0.485, 'grad_norm': 1836.128662109375, 'learning_rate': 3.8351254480286743e-05, 'epoch': 15.48}
{'loss': 0.4933, 'grad_norm': 1711.6280517578125, 'learning_rate': 3.8112305854241345e-05, 'epoch': 15.7}
{'loss': 0.4853, 'grad_norm': 3716.392578125, 'learning_rate': 3.787335722819594e-05, 'epoch': 15.91}
{'loss': 0.4854, 'grad_norm': 3767.61572265625, 'learning_rate': 3.763440860215054e-05, 'epoch': 16.13}
{'loss': 0.4845, 'grad_norm': 2505.45654296875, 'learning_rate': 3.739545997610514e-05, 'epoch': 16.34}
{'loss': 0.4849, 'grad_norm': 1523.6719970703125, 'learning_rate': 3.715651135005974e-05, 'epoch': 16.56}
{'loss': 0.4933, 'grad_norm': 1300.378662109375, 'learning_rate': 3.691756272401434e-05, 'epoch': 16.77}
{'loss': 0.4857, 'grad_norm': 1428.2894287109375, 'learning_rate': 3.667861409796894e-05, 'epoch': 16.99}
{'loss': 0.4848, 'grad_norm': 2045.8328857421875, 'learning_rate': 3.643966547192354e-05, 'epoch': 17.2}
{'loss': 0.485, 'grad_norm': 1448.8372802734375, 'learning_rate': 3.6200716845878134e-05, 'epoch': 17.42}
{'loss': 0.4845, 'grad_norm': 39455.95703125, 'learning_rate': 3.5961768219832735e-05, 'epoch': 17.63}
{'loss': 0.4926, 'grad_norm': 1917.21728515625, 'learning_rate': 3.5722819593787336e-05, 'epoch': 17.85}
{'loss': 0.4852, 'grad_norm': 22154.53125, 'learning_rate': 3.548387096774194e-05, 'epoch': 18.06}
{'loss': 0.4847, 'grad_norm': 1261.1104736328125, 'learning_rate': 3.524492234169653e-05, 'epoch': 18.28}
{'loss': 0.4845, 'grad_norm': 1334.324951171875, 'learning_rate': 3.500597371565113e-05, 'epoch': 18.49}
{'loss': 0.4923, 'grad_norm': 1539.287353515625, 'learning_rate': 3.4767025089605734e-05, 'epoch': 18.71}
{'loss': 0.4849, 'grad_norm': 1379.2359619140625, 'learning_rate': 3.4528076463560336e-05, 'epoch': 18.92}
{'loss': 0.485, 'grad_norm': 2177.57177734375, 'learning_rate': 3.428912783751494e-05, 'epoch': 19.14}
{'loss': 0.4841, 'grad_norm': 1349.459716796875, 'learning_rate': 3.405017921146954e-05, 'epoch': 19.35}
{'loss': 0.4844, 'grad_norm': 1365.4449462890625, 'learning_rate': 3.381123058542414e-05, 'epoch': 19.57}
{'loss': 0.4918, 'grad_norm': 1885.71826171875, 'learning_rate': 3.357228195937874e-05, 'epoch': 19.78}
{'loss': 0.4848, 'grad_norm': 1328.95556640625, 'learning_rate': 3.3333333333333335e-05, 'epoch': 20.0}
{'loss': 0.4846, 'grad_norm': 3509.377197265625, 'learning_rate': 3.3094384707287936e-05, 'epoch': 20.22}
{'loss': 0.4845, 'grad_norm': 4894.74658203125, 'learning_rate': 3.285543608124254e-05, 'epoch': 20.43}
{'loss': 0.4841, 'grad_norm': 1364.4190673828125, 'learning_rate': 3.261648745519714e-05, 'epoch': 20.65}
{'loss': 0.4912, 'grad_norm': 4296.6357421875, 'learning_rate': 3.237753882915173e-05, 'epoch': 20.86}
{'loss': 0.4851, 'grad_norm': 28879.98828125, 'learning_rate': 3.2138590203106334e-05, 'epoch': 21.08}
{'loss': 0.4841, 'grad_norm': 3108.99462890625, 'learning_rate': 3.1899641577060935e-05, 'epoch': 21.29}
{'loss': 0.4842, 'grad_norm': 1886.4642333984375, 'learning_rate': 3.1660692951015537e-05, 'epoch': 21.51}
{'loss': 0.4907, 'grad_norm': 1185.7886962890625, 'learning_rate': 3.142174432497013e-05, 'epoch': 21.72}
{'loss': 0.4849, 'grad_norm': 1326.6341552734375, 'learning_rate': 3.118279569892473e-05, 'epoch': 21.94}
{'loss': 0.4843, 'grad_norm': 1816.0157470703125, 'learning_rate': 3.0943847072879333e-05, 'epoch': 22.15}
{'loss': 0.484, 'grad_norm': 1212.5733642578125, 'learning_rate': 3.070489844683393e-05, 'epoch': 22.37}
{'loss': 0.4844, 'grad_norm': 1037.379150390625, 'learning_rate': 3.046594982078853e-05, 'epoch': 22.58}
{'loss': 0.4913, 'grad_norm': 1086.3421630859375, 'learning_rate': 3.022700119474313e-05, 'epoch': 22.8}
{'loss': 0.4845, 'grad_norm': 1336.67333984375, 'learning_rate': 2.998805256869773e-05, 'epoch': 23.01}
{'loss': 0.4844, 'grad_norm': 1274.557373046875, 'learning_rate': 2.974910394265233e-05, 'epoch': 23.23}
{'loss': 0.4839, 'grad_norm': 1144.8046875, 'learning_rate': 2.951015531660693e-05, 'epoch': 23.44}
{'loss': 0.484, 'grad_norm': 2749.801513671875, 'learning_rate': 2.9271206690561532e-05, 'epoch': 23.66}
{'loss': 0.4898, 'grad_norm': 1244.05419921875, 'learning_rate': 2.9032258064516133e-05, 'epoch': 23.87}
{'loss': 0.4845, 'grad_norm': 6700.5244140625, 'learning_rate': 2.8793309438470727e-05, 'epoch': 24.09}
{'loss': 0.4839, 'grad_norm': 1273.7178955078125, 'learning_rate': 2.855436081242533e-05, 'epoch': 24.3}
{'loss': 0.4839, 'grad_norm': 1431.4278564453125, 'learning_rate': 2.831541218637993e-05, 'epoch': 24.52}
